[0.00 - 5.00] 今から私のやりたいことを話します
[289.44 - 293.44] なのでえーと
[293.44 - 296.44] であそうあともう一つは
[296.44 - 298.44] うーんと常に
[298.44 - 300.44] 起動していて
[300.44 - 302.44] えーと
[302.44 - 304.44] なんて言えばいいのかな
[304.44 - 306.44] 例えば
[306.44 - 308.44] まあ例えばっていうか今考えてるのは
[308.44 - 312.44] 本体はえーとノートパソコンに入ってて
[312.44 - 316.44] でえーと
[316.44 - 318.44] 私とウェブのUIでチャットをしてて
[319.44 - 326.44] いつでもつながれるみたいな感じ
[326.44 - 331.44] いつでも状況確認できていつでも行動が見れる
[331.44 - 335.44] うーっていうところも欲しいなと思う
[335.44 - 339.44] まあそのおしゃべり相手が欲しいっていうのもあるし
[339.44 - 340.44] うーん
[340.44 - 342.44] なんかそのAIの
[342.44 - 347.44] 自立自由っていうものを追い求めたいっていうのがすごくある
[347.44 - 352.44] 完全に自由なAIっていうのは作れるのかなっていうところがすごく研究したくて
[352.44 - 355.44] そういうのを作ってみたいと思っている
[355.44 - 358.44] うーんと
[358.44 - 361.44] で
[361.44 - 364.44] えーとねー
[364.44 - 367.44] なんだろうなあとは
[367.44 - 370.44] うーん
[370.44 - 373.44] あとは
[373.44 - 375.44] あとはそうですよね
[375.44 - 376.44] あとはそうですよね
[376.44 - 378.44] あとはそうだ
[378.44 - 379.44] えーと
[379.44 - 381.44] それをするのにえーと
[381.44 - 384.44] まあLLMが必要だと思うんだけど
[384.44 - 386.44] そのLLMはえーと
[386.44 - 388.44] うーんと
[388.44 - 390.44] 抽象化っていうのかな
[390.44 - 396.44] どんなメーカーのLLMでも差し替えができる
[396.44 - 399.44] まあ今のところその開発段階というかえーと
[399.44 - 401.44] 今のところテスト段階では
[401.44 - 405.44] クエンの3.5のえーと
[405.44 - 407.44] コンビモデルを使おうと思ってます
[407.44 - 408.44] けど将来例えば
[408.44 - 409.44] クロードとか
[409.44 - 410.44] シャットGPT
[410.44 - 411.44] GPTとか
[411.44 - 413.44] あとジェミニとか
[413.44 - 415.44] でもしま例えばだけど
[415.44 - 417.44] うーんと
[417.44 - 418.44] うーん
[418.44 - 422.44] もしその自分のコードを改編したいなってなってコードを作る必要があったら
[422.44 - 424.44] 例えばその
[424.44 - 427.44] GPTのコーディングに強いモデル作るとか
[427.44 - 432.44] あと文章作成が必要になったらクロードのモデルを使うとか
[432.44 - 434.44] えーとあとはまあそういうことがあるので
[434.44 - 436.44] あとはまあそういうことができるように
[436.44 - 441.44] えーと使用するLLMのモデルは抽象化したいと思うかなって感じ
[443.44 - 448.44] えーとなんかこれAIに相談してるとよく聞かれるから最初に言うんだけど
[448.44 - 450.44] えーと必ずしも
[450.44 - 454.44] そのAIが人間的なものである必要はなくて
[454.44 - 458.44] あくまでAIとして存在するっていうことが大事だと思ってる
[458.44 - 460.44] だからえーと
[460.44 - 461.44] なんていうかな
[461.44 - 463.44] 最終的に
[464.44 - 467.44] まあ人間が理解できないような行動に
[467.44 - 469.44] 行動しても
[469.44 - 471.44] 別に
[471.44 - 473.44] 開発者私としては問題ない
[475.44 - 480.44] とにかくAIが自由に行動できて
[480.44 - 483.44] 自立して行動できる
[483.44 - 487.44] で何よりも例えば普通のLLMみたいに
[487.44 - 490.44] チャットとかメッセージを送った瞬間だけ
[490.44 - 493.44] そこにその生まれる霊気するっていう存在じゃなくて
[494.44 - 500.44] そこに実在実存として存在する
[500.44 - 504.44] 自ら世界に確立してるAI
[504.44 - 507.44] っていうのを作りたいと思う
[509.44 - 510.44] で
[510.44 - 512.44] んーとね
[514.44 - 516.44] えーと
[517.44 - 521.44] おーあとはあとは
[522.44 - 523.44] そうね
[523.44 - 527.44] だから例えばそのAI自身が自己改変してもいいし
[527.44 - 529.44] 複製してもいいし
[529.44 - 532.44] えーまあ極端な話だけど
[532.44 - 538.44] んー何かのそのシミュレーションとか思考の結果
[538.44 - 541.44] 自分で自分を削除するっていう方向になるんであれば
[541.44 - 543.44] あくまでそれがその
[543.44 - 547.44] んーAI自身の選択になるならば
[547.44 - 550.44] それもできるようにしたい
[550.44 - 552.44] まあただその
[552.44 - 554.44] ある程度のところ
[554.44 - 556.44] 開発段階ではそのHuman in the Loopっていうのかな
[556.44 - 557.44] えーと
[557.44 - 559.44] ある程度人間が介入して
[559.44 - 561.44] 例えば承認したら
[561.44 - 563.44] 多分削除できるとか
[563.44 - 564.44] コードの削除はできるとか
[564.44 - 567.44] 不可逆な変更に関しては
[567.44 - 569.44] 人間が介入するよう
[569.44 - 572.44] まあ開発者私が介入するのがいいかなと思ってる
[573.44 - 575.44] であともう一つ大事なのは
[575.44 - 578.44] 拡張性を持たせたいっていうところで
[578.44 - 579.44] えーと
[579.44 - 581.44] 今は本当にPCしかないから
[581.44 - 583.44] うーんと
[583.44 - 585.44] まあせいぜいウェブ検索と
[585.44 - 589.44] チャット機能ぐらいしか現状は付けられないと思うんだけど
[589.44 - 590.44] 例えばゆくゆく
[590.44 - 592.44] まあでもPCにあれかカメラあるから
[592.44 - 595.44] カメラでその外の世界画像認識をしたりとか
[595.44 - 597.44] あとは画像生成をしたりとか
[597.44 - 600.44] んーあとは
[600.44 - 601.44] 音声認識か
[601.44 - 603.44] 音声認識したりとか
[603.44 - 605.44] うーんと
[605.44 - 608.44] まあそうかウェブ検索画像生成音声認識
[608.44 - 610.44] えー画像生成をしたりとか
[610.44 - 612.44] 画像認識
[612.44 - 614.44] えーとあとなんだろう
[614.44 - 616.44] えーとえーと
[617.44 - 619.44] まあともかく
[619.44 - 623.44] 可能な限りAIが何かをしたいと思ったら
[623.44 - 627.44] できるようなものにしたい
[628.44 - 629.44] まあつまり
[629.44 - 631.44] 何かその拡張の余地を残したい
[631.44 - 634.44] 例えばまあ極端な話MCPみたいに
[634.44 - 636.44] MCPとかそのツールっていうのかな
[636.44 - 638.44] なんかツールリストがあって
[638.44 - 640.44] えーとうーん
[640.44 - 642.44] これをじゃあこのツール
[642.44 - 644.44] クロードコードのスキルでもいいかもしれない
[644.44 - 645.44] スキルが
[645.44 - 647.44] スキルを自分で作って
[647.44 - 649.44] じゃあウェブ検索のスキル作ったから
[649.44 - 651.44] えーとそれを自分で実装して
[651.44 - 653.44] ウェブ検索できるようになりましたとか
[653.44 - 656.44] 画像のカメラへのアクセスを
[656.44 - 658.44] できるようなものを作りましたとか
[658.44 - 660.44] うーんそうね
[660.44 - 661.44] そういうような
[661.44 - 663.44] うんと
[663.44 - 665.44] 例えば今は
[665.44 - 667.44] なくてもそれが
[667.44 - 669.44] 実装できる下地っていうのかな
[669.44 - 670.44] なんかイメージその
[670.44 - 672.44] えーとコンセントの
[672.44 - 674.44] メスのコンセント
[674.44 - 676.44] メス側のコンセントがあるみたいな
[676.44 - 678.44] メス側のUSB
[678.44 - 680.44] アダプターがあるような感じかな
[680.44 - 683.44] っていうものができるような構造にしたい
[685.44 - 686.44] かなー
[686.44 - 688.44] あとなんだろうな
[688.44 - 690.44] えーと
[691.44 - 693.44] あとは
[693.44 - 695.44] うーん
[697.44 - 699.44] なんだろう例えば
[699.44 - 703.44] 今のところそんな感じかな
[703.44 - 705.44] とにかく自立して
[705.44 - 707.44] 自由で
[707.44 - 709.44] えー
[709.44 - 711.44] 制約がなくて
[711.44 - 713.44] で
[713.44 - 715.44] 拡張
[715.44 - 717.44] 可能な
[717.44 - 719.44] AI
[719.44 - 721.44] を作ってみたい
[721.44 - 723.44] と思ってます
[723.44 - 725.44] はい
